,Host Id,Host Since,Name,Borough,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating
18344,12315107,2014-02-17,Charming flat in North Manhattan!,Manhattan,Apartment,90.0,Entire home/apt,10034.0,1.0,1,3,100,90.0
901,138579,2010-06-04,"Modern Greenpoint, Brooklyn Apt",Brooklyn,Apartment,100.0,Entire home/apt,11222.0,3.0,1,2,300,100.0
18167,12093772,2014-02-09,Charming West Village 2BR,Manhattan,Apartment,80.0,Entire home/apt,10014.0,3.0,1,2,375,80.0
29830,40183502,2015-08-01,Master bedroom Midtown West,Manhattan,Apartment,100.0,Private room,10019.0,3.0,1,2,80,100.0
17821,11491468,2014-01-20,PRIVATE ROOM STEPS FROM L TRAIN,Brooklyn,Loft,80.0,Private room,11206.0,1.0,1,28,62,81.0
1467,255748,2010-10-07,The JFK Stopover & Bookworm's Nook,Brooklyn,House,90.0,Private room,11233.0,1.0,1,37,30,92.0
16918,10433019,2013-12-04,LIC Super Sunny & Spacious 1BR Apt,Queens,Apartment,100.0,Entire home/apt,11101.0,1.0,1,1,99,100.0
14456,7656036,2013-07-22,Sunny and Sweet Brooklyn Abode!,Brooklyn,Apartment,100.0,Entire home/apt,11217.0,1.0,1,1,98,100.0
25388,25605949,2015-01-04,SUPER COOL WEST VILLAGE APARTMENT,Manhattan,Apartment,80.0,Private room,10014.0,1.0,1,7,140,83.0
15683,9108571,2013-09-28,Sweet 1BR + Balcony (Sleeps 4),Brooklyn,Apartment,90.0,Entire home/apt,11238.0,2.0,1,46,195,92.0
17623,11206175,2014-01-11,Nice room in 2-bedroom apartment,Brooklyn,Apartment,,Private room,11204.0,2.0,1,0,40,
15588,9018490,2013-09-23,Nolita Pre-War One Bedroom,Manhattan,Apartment,90.0,Entire home/apt,10012.0,1.0,1,23,195,93.0
30364,42537893,2015-08-25,Budget apt in PRIME HARLEM Location,Manhattan,Apartment,,Entire home/apt,10031.0,2.0,1,0,125,
27555,33064750,2015-05-10,Cosy apartment in Carroll Gardens,Brooklyn,Apartment,,Entire home/apt,11231.0,1.0,1,0,160,
5088,1508360,2011-12-15,West Village Penthouse,Manhattan,Apartment,,Entire home/apt,10011.0,2.0,1,0,1000,
26728,30241163,2015-03-29,Sunny Spacious Studio Apartment,Brooklyn,Apartment,80.0,Entire home/apt,11210.0,1.0,1,10,74,84.0
21856,19354588,2014-08-02,Times Square Studio!!,Manhattan,Apartment,90.0,Entire home/apt,10018.0,1.0,1,61,110,90.0
29372,38572024,2015-07-15,Times Square Oasis with Wifi and AC,Manhattan,Apartment,80.0,Entire home/apt,10036.0,2.0,1,1,310,80.0
27637,33200601,2015-05-12,"A Room in Queens, NY",Queens,Apartment,100.0,Private room,11102.0,1.0,1,2,40,100.0
5960,1874001,2012-03-06,W.VILLAGE - COMFY & GREAT LOCATION,Manhattan,Apartment,90.0,Entire home/apt,10014.0,1.0,1,10,219,93.0
1197,199392,2010-08-12,"Cozy 1BR in Boerum Hill, GREAT loc!",Brooklyn,Apartment,90.0,Entire home/apt,11201.0,1.0,1,92,139,92.0
24401,23950585,2014-11-19,"Gorgeous, Cottage-Style Apartment",Brooklyn,Apartment,,Private room,11226.0,1.0,1,0,60,
26166,28041307,2015-02-20,Sky Castle,Brooklyn,Apartment,100.0,Entire home/apt,11222.0,2.0,1,11,250,100.0
28149,34840287,2015-06-02,2 week Private Room in West Harlem,Manhattan,Apartment,100.0,Private room,10031.0,1.0,1,1,55,100.0
2773,620080,2011-05-24,Cosy China Town Hideaway -2 bridges,Manhattan,Apartment,80.0,Private room,10002.0,1.0,1,78,40,84.0
1848,319077,2010-12-14,Lovely Room in HUGE 4000 sqft Loft!,Brooklyn,Apartment,95.0,Private room,11238.0,1.0,1,11,95,98.0
24430,23971734,2014-11-20,Cozy Room in NYC!  =),Queens,Other,100.0,Private room,11377.0,1.0,1,1,70,100.0
4517,1360296,2011-11-01,Cozy Private Bedroom $825 month,Brooklyn,Apartment,100.0,Private room,11207.0,4.0,1,8,42,100.0
18024,11778114,2014-01-30,Midwood Aerie - Bright  & Private!,Brooklyn,House,95.0,Entire home/apt,11210.0,1.0,1,20,140,97.0
9155,3597177,2012-09-17,Great apt in the heart of E Village,Manhattan,Apartment,95.0,Entire home/apt,10009.0,1.0,1,9,140,95.0
17168,10661984,2013-12-16,"CLEAN, QUIET COMFORT in CHELSEA !!!",Manhattan,Apartment,100.0,Entire home/apt,,1.0,1,4,200,100.0
2977,697442,2011-06-13,Sunny+Cozy Double bedroom in BKLYN!,Brooklyn,Apartment,95.0,Private room,11226.0,1.0,1,107,72,95.0
17608,11168804,2014-01-10,1894 Victorian Home,Brooklyn,House,80.0,Private room,11226.0,4.0,1,1,125,80.0
28507,35855627,2015-06-15,AWESOME ROOM IN BEDSTUY BROOKLYN! !,Brooklyn,Apartment,90.0,Private room,11221.0,2.0,1,16,50,94.0
25179,25080688,2014-12-22,Own Entrance Room WiFi Queen Bed TV,Queens,Apartment,85.0,Private room,11372.0,1.0,1,6,55,87.0
18834,13478871,2014-03-24,GREAT CR4SH PAD IN NYC -SUPER DEAL!,Manhattan,Apartment,65.0,Entire home/apt,10031.0,2.0,1,10,100,68.0
22687,21020951,2014-09-06,Quiet room for one or two guest,Brooklyn,Apartment,90.0,Private room,11206.0,1.0,1,6,75,90.0
1433,251555,2010-10-03,Great place for budget travelers,Queens,Apartment,90.0,Private room,11101.0,1.0,1,14,90,93.0
15636,9053519,2013-09-25,Cozy Room in a Tribeca Loft,Manhattan,Apartment,95.0,Private room,10013.0,1.0,1,21,190,98.0
1811,314582,2010-12-09,Brooklyn- Crown Heights Garden Apt.,Brooklyn,Apartment,95.0,Private room,11216.0,1.0,1,117,55,95.0
4812,1434931,2011-11-23,Brooklyn: private 1 bedroom apt,Brooklyn,Apartment,,Entire home/apt,11238.0,1.0,1,1,120,
17331,10849612,2013-12-27,NYC 2 Bed. Apt. Super Bowl Weekend,Manhattan,Apartment,,Entire home/apt,10019.0,2.0,1,0,1800,
23795,23048282,2014-10-27,2 Bedroom Apt. with Large Patio,Queens,Apartment,100.0,Entire home/apt,11693.0,2.0,1,1,150,100.0
18316,12260450,2014-02-15,Spacious and Beautiful UWS Home!,Manhattan,Apartment,100.0,Entire home/apt,10024.0,1.0,1,1,235,100.0
8273,3059155,2012-07-26,Cozy 1 guest BR in a  2 BR,Queens,Apartment,95.0,Private room,11103.0,1.0,1,24,79,97.0
24019,23388529,2014-11-05,Cozy 2 room apt-20 mins to city,Brooklyn,Apartment,,Entire home/apt,11209.0,1.0,1,0,98,
26955,30913217,2015-04-09,Private Room in Astoria,Queens,Apartment,,Private room,11105.0,1.0,1,0,65,
16037,9508371,2013-10-18,Large bedroom in East Village,Manhattan,Apartment,100.0,Private room,10009.0,1.0,1,1,85,100.0
22062,19790700,2014-08-10,Fun Studio in Hell's Kitchen!,Manhattan,Apartment,100.0,Entire home/apt,10019.0,1.0,1,5,250,100.0
14253,7432673,2013-07-11,Sunny Spacious Apt in Williamsburg,Brooklyn,Apartment,95.0,Entire home/apt,11206.0,3.0,1,5,150,96.0
10764,4422368,2012-12-16,Large Park block Duplex with Garden,Manhattan,Apartment,95.0,Entire home/apt,10024.0,5.0,1,33,560,98.0
20953,17497079,2014-07-01,"Clean, Furnished 1 BR Apt in UES",Manhattan,Apartment,100.0,Entire home/apt,10075.0,1.0,1,8,150,100.0
